Card Name,PSA Grade,Cost (฿),Market Value (฿),Market Value Bull (฿),Signal,Confidence (%),Risk Flag,Category,Notes
Charizard Base Set Holo,9,28500,45000,58500,HOLD,94,None,Winner,+58% gain over 8 months
Mewtwo Shadowless 1st Edition,8,22000,35500,46150,HOLD,91,None,Winner,+61% appreciation
Blastoise Base Set Holo,7,15000,22500,29250,HOLD,87,None,Winner,+50% steady growth
Alakazam Base Set Holo,9,16500,24000,31200,HOLD,92,None,Winner,+45% recent momentum
Gengar Base Set Holo,8,13500,19800,25740,HOLD,89,None,Winner,+47% appreciation consistent
Pikachu Illustrator Promo,10,8500,5200,6760,SELL,78,None,Loser,-39% below entry (oversold)
Dragonite Holo Base Set,6,12000,9000,11700,SELL,82,None,Loser,-25% market decline
Venusaur Base Set Holo,8,18000,17200,22360,HOLD,45,REVIEW,Weak Confidence,45% confidence—condition concerns
Machamp 1st Edition Holo,7,11000,10700,13910,HOLD,50,REVIEW,Weak Confidence,Authentication flag on market
Nidoking Shadowless,8,9500,14200,18460,BUY,88,None,Opportunity,Undervalued momentum building
Vileplume Holo Fossil,6,5000,7200,9360,BUY,85,None,Opportunity,+44% upside in Bull scenario
Raichu Base Set Holo,7,8500,10200,13260,HOLD,79,None,Neutral,+20% stable low volatility
Articuno Holo Base Set,6,7000,8900,11570,HOLD,72,None,Neutral,+27% modest growth
Zapdos Holo Base Set,6,7200,9100,11830,HOLD,71,None,Neutral,+26% baseline tracking
Moltres Holo Base Set,6,7100,8700,11310,HOLD,68,None,Neutral,+22% underperforming trio
